,session_id,order_id,order_title
149,314,4,قرائت گزارش كميسيون اصل (90) قانون اساسي درمورد بررسي اقدامات دستگاه‌هاي مسئول درخصوص مصوبات هيأت محترم وزيران و قوانين مرتبط در زمينه مبارزه با آلودگي هوا
150,314,5,طرح سؤال آقاي هدايتاله خادمي نماينده ايذه و باغملك از آقاي بيژن نامدارزنگنه وزير نفت و نظر مجلس مبني بر قانع‌كننده بودن پاسخ وزير
151,314,6,طرح سؤال آقاي علي ساري نماينده اهواز، باوي، حميديه و كارون و هفت نفر از نمايندگان مجلس شوراي اسلامي از آقاي بيژن نامدارزنگنه وزير نفت
152,314,7,قرائت بيانيه نمايندگان مجلس شوراي اسلامي درخصوص تقدير و تشكر و حمايت همه‌جانبه از ارتش جمهوري اسلامي ايران
153,314,8,اعلام وصول (1) فقره سؤال
154,314,9,ناطقان جلسه آقايان: هادي شوشتري، محمدمهدي برومندي و محمد قمي و خانم‌ها: زهرا سعيدي‌مباركه و سيده‌حميده زرآبادي
155,314,10,تذكرات كتبي نمايندگان به مسئولان اجرايي كشور
156,314,11,تذكرات شفاهي نمايندگان مجلس شوراي اسلامي
157,314,12,اعلام ختم جلسه و تاريخ تشكيل جلسه آينده
158,316,1,اعلام رسميت جلسه و قرائت دستور
159,316,2,تلاوت آياتي از قرآن مجيد
160,316,3,ادامه رسيدگي به طرح حمايت از مرمت و احياي بافت‌هاي تاريخي ـ فرهنگي (ثبت314)
161,316,4,اعلام وصول (2) فقره سؤال
162,316,5,ناطقان جلسه آقايان: امير خجسته، حبيب‌اله نيكزادي‌پناه، سيدحسين نقوي‌حسيني و خانم‌ها: سهيلا جلودارزاده و زهرا سعيدي‌مباركه
163,316,6,تذكرات كتبي نمايندگان به مسئولان اجرايي كشور
164,316,7,اعلام ختم جلسه و تاريخ تشكيل جلسه آينده
165,316,8,ضميمه: الف ـ فهرست مصوبات                                   ب ـ فهرست سؤال‌هاي اعلام وصول شده
166,321,1,اعلام رسميت جلسه و قرائت دستور
167,321,2,تلاوت آياتي از قرآن مجيد
168,321,3,تصويب لايحه موافقتنامه تشويق و حمايت متقابل از سرمايه‌گذاري بين جمهوري اسلامي ايران و دوك‌نشين اعظم لوكزامبورگ (ثبت 283)
169,321,4,قرائت گزارش كميسيون ويژه حمايت از توليد ملي و نظارت بر اجراي اصل (44) قانون اساسي درخصوص نحوه اجراي قانون رفع موانع توليد رقابت‌پذير و ارتقاي نظام مالي كشور در حوزه بازارهاي مالي
170,321,5,تصويب لايحه معافيت وزارتخانه‌ها و مؤسسات دولتي از پرداخت هزينه‌هاي ثبتي (ثبت 160)
171,321,6,قرائت گزارش كميسيون ويژه حمايت از توليد ملي و نظارت بر اجراي اصل (44) قانون اساسي درخصوص نقض قانون و مقررات مربوط به واگذاري شركت آلومينيوم المهدي و مجتمع هرمزال و ارجاع آن به قوه قضائيه
172,321,7,ناطقان جلسه آقايان: محمد حسيني، الياس حضرتي، همايون يوسفي، عين‌اله شريف‌پور و مصطفي كواكبيان
173,321,8,اعلام وصول (1) فقره لايحه
174,321,9,اعلام وصول (9) فقره سؤال
175,321,10,تذكرات كتبي نمايندگان به مسئولان اجرايي كشور
176,321,11,اعلام ختم جلسه و تاريخ تشكيل جلسه آينده
177,322,1,اعلام رسميت جلسه و قرائت دستور
178,322,2,تلاوت آياتي از قرآن مجيد
179,322,3,طرح سؤال خانم سيده‌فاطمه ذوالقدر نماينده تهران، ري، شميرانات، اسلامشهر و پرديس از آقاي سيدمحمد بطحايي وزير آموزش و پرورش و نظر مجلس مبني‌بر قانع‌كننده نبودن پاسخ وزير
180,322,4,طرح سؤال خانم هاجر چناراني نماينده نيشابور و فيروزه از آقاي سيدمحمد بطحايي وزير آموزش و پرورش
181,322,5,طرح سؤال آقاي علي وقفچي نماينده زنجان و طارم از آقاي سيدمحمد بطحايي وزير آموزش و پرورش و نظر مجلس مبني‌بر قانع‌كننده بودن پاسخ وزير
182,322,6,تذكرات شفاهي نمايندگان مجلس شوراي اسلامي
183,322,7,اعلام وصول (1) فقره طرح
184,322,8,اعلام ختم جلسه و تاريخ تشكيل جلسه آينده
185,323,1,اعلام رسميت جلسه و قرائت دستور
